url	first_seen	portal	title	company	status	location	fingerprint	posted_at	trust_score	trust_flags	normalized_company
https://job-boards.greenhouse.io/gitlab/jobs/8778279002	2026-09-07	greenhouse-api	Intermediate Backend Engineer, EMEA	GitLab	added	Remote, United Kingdom	f56ac8e9a839ab83	2026-09-02			gitlab
https://job-boards.greenhouse.io/gitlab/jobs/8775415002	2026-09-07	greenhouse-api	Intermediate Backend Engineer, EMEA	GitLab	added	Remote, Poland	f56ac8e9a839ab83	2026-09-02			gitlab
https://job-boards.greenhouse.io/gitlab/jobs/8775507002	2026-09-07	greenhouse-api	Intermediate Backend Engineer, India	GitLab	added	Bangalore, India	f56ac8e9a839ab83	2026-09-02			gitlab
https://job-boards.greenhouse.io/gitlab/jobs/8736862002	2026-09-07	greenhouse-api	Senior Backend Engineer	GitLab	added	Bangalore, India	f95f8ba4c8bbf9e9	2026-09-03			gitlab
https://job-boards.greenhouse.io/gitlab/jobs/8729451002	2026-09-07	greenhouse-api	Senior Backend Engineer (Go), Tenant Scale: Gitaly	GitLab	added	Remote, Canada; Remote, United Kingdom	79c301e46c23e7ac	2026-08-20			gitlab
https://job-boards.greenhouse.io/gitlab/jobs/8749951002	2026-09-07	greenhouse-api	Senior Backend Engineer (Go), Tenant Scale: Gitaly	GitLab	added	Remote, Poland	79c301e46c23e7ac	2026-08-26			gitlab
https://job-boards.greenhouse.io/gitlab/jobs/8615312002	2026-09-07	greenhouse-api	Senior Backend Engineer - Platform Integrations (Monetization)	GitLab	added	Bangalore, India	31eb45a1e6214d49	2026-09-01			gitlab
https://job-boards.greenhouse.io/gitlab/jobs/8749946002	2026-09-07	greenhouse-api	Senior Backend Engineer, Poland	GitLab	added	Remote, Poland	f95f89e488fbf9e9	2026-08-26			gitlab
https://job-boards.greenhouse.io/gitlab/jobs/8704363002	2026-09-07	greenhouse-api	Senior Backend Engineer (Python), Agent Developer: Flow Components	GitLab	added	Remote, Canada	a1f0d9b4e9fb0fcd	2026-08-19			gitlab
https://job-boards.greenhouse.io/gitlab/jobs/8759577002	2026-09-07	greenhouse-api	Senior Backend Engineer (Ruby), AI Catalog: External Agents	GitLab	added	Remote, United Kingdom	e1fb85c8cfb337cd	2026-08-31			gitlab
